case_id,boundary_case_index,current_A,current_density_command_A_cm2,egr_band,egr_fraction_cmd,ambient_supply_T_C,ambient_supply_p_kPa_g,ambient_supply_RH,V_cell_sim,lambda_O2_actual,RH_ca_in,xO2_ca_in,pO2_ca_in_kPa,m_stack_in_kg_s,m_egr_return_kg_s,T_stack_C
"工况编号","锚点序号","电流_A","电流密度_A每平方厘米","负载段","EGR率","新鲜空气温度_C","新鲜空气表压_kPag","新鲜空气相对湿度_0到1","单电池电压_V","实际氧气计量比","阴极入口相对湿度_0到1","阴极入口氧摩尔分数","阴极入口氧分压_kPa","电堆入口总流量_kg每秒","EGR回流量_kg每秒","电堆温度_C"
"initial_noegr_01","1","38","0.1","low","0","25","0","0.5","0.789416990161826","4.59262356283096","0.116598226368712","0.20622436550273","29.1446584546734","0.00100615312910047","0","58.8932243237089"
"initial_noegr_01","1","38","0.1","low","0.05","25","0","0.5","0.789390795724661","4.54058900647888","0.146116529865065","0.203530157948371","28.7638995720535","0.00100615312910047","5.01833935948652e-05","58.8932421058798"
"initial_noegr_01","1","38","0.1","low","0.1","25","0","0.5","0.789291510556965","4.48315507465847","0.17782741522959","0.20057460438587","28.346205964833","0.00100615312910047","0.000100291420285247","58.893370535722"
"initial_noegr_01","1","38","0.1","low","0.15","25","0","0.5","0.78904978384132","4.41941704028182","0.21198691676509","0.197316242672745","27.8857179957257","0.00100615312910047","0.000150315122967751","58.8937167494658"
"initial_noegr_01","1","38","0.1","low","0.2","25","0","0.5","0.78860128923977","4.34825304830977","0.248891602076403","0.193704090480912","27.3752305872149","0.00100615312910047","0.00020024395807615","58.8943794012247"
"initial_noegr_01","1","38","0.1","low","0.25","25","0","0.5","0.787861411625","4.26825393198271","0.288886681097779","0.189674671082956","26.8057728907988","0.00100615312910047","0.000250065435462699","58.8954879929756"
"initial_noegr_01","1","38","0.1","low","0.3","25","0","0.5","0.786719308071804","4.17762355720716","0.332376182079254","0.185147820123343","26.1660156789315","0.00100615312910047","0.00029976466520122","58.8972117260347"
"initial_noegr_01","1","38","0.1","low","0.35","25","0","0.5","0.785028944167757","4.07403404121419","0.379835834801639","0.18002063759356","25.4414166079098","0.00100615312910047","0.000349323780601571","58.8997727872294"
"initial_noegr_01","1","38","0.1","low","0.4","25","0","0.5","0.782594381945273","3.95440984334732","0.431829548592002","0.174158534842501","24.6129549366164","0.00100615312910047","0.000398721195189749","58.9034678610298"
"initial_noegr_01","1","38","0.1","low","0.45","25","0","0.5","0.779143847345232","3.81459595295757","0.489030741531076","0.167381578789585","23.6552016224381","0.00100615312910047","0.000447930634804417","58.9087066680847"
"initial_noegr_01","1","38","0.1","low","0.5","25","0","0.5","0.774281034899219","3.6488298034598","0.552250340951268","0.159442926218182","22.5332715477846","0.00100615312910047","0.000496919861313407","58.9160830159587"
"initial_noegr_01","1","38","0.1","low","0.55","25","0","0.5","0.767387184540139","3.44886547777223","0.622474160879197","0.149993345987671","21.1978096217075","0.00100615312910047","0.000545648967164463","58.926517519461"
"initial_noegr_01","1","38","0.1","low","0.6","25","0","0.5","0.757284098302913","3.21500958703047","0.670977843981953","0.139280579064679","19.6838278363158","0.00100615312910047","0.000592968444516096","58.9417561775663"
"initial_noegr_01","1","38","0.1","low","0.65","25","0","0.5","0.742628523780605","2.92196338968216","0.714726078114678","0.126076182919992","17.8177165511678","0.00100615312910047","0.000639702760083845","58.9637067210524"
"initial_noegr_01","1","38","0.1","low","0.7","25","0","0.5","0.719356261191796","2.53715614480083","0.75856079753301","0.108968348592861","15.3999518648861","0.00100615312910047","0.000686048349901531","58.9981846767865"
"initial_noegr_02","2","76","0.2","low","0","25","0","0.5","0.76308918532613","3.38039965979346","0.115877452563648","0.20622436550273","32.217401500664","0.00148115762103297","0","63.323665225346"
"initial_noegr_02","2","76","0.2","low","0.05","25","0","0.5","0.764030969874243","3.32786343191263","0.157423312588184","0.202518032847058","31.6383796815316","0.00148115762103297","7.40183986067966e-05","63.3228732937526"
"initial_noegr_02","2","76","0.2","low","0.1","25","0","0.5","0.764636694016336","3.26978429983971","0.202343417378416","0.198449343796326","31.002748734581","0.00148115762103297","0.000147920667931173","63.3223764866267"
"initial_noegr_02","2","76","0.2","low","0.15","25","0","0.5","0.76478796665653","3.20522501282372","0.25107002202021","0.193960986329713","30.3015550893594","0.00148115762103297","0.00022169156999224","63.3222756754783"
"initial_noegr_02","2","76","0.2","low","0.2","25","0","0.5","0.764343730369173","3.13302252124371","0.304111611362698","0.188982626454301","29.5238108178232","0.00148115762103297","0.000295312881934119","63.3226908068631"
"initial_noegr_02","2","76","0.2","low","0.25","25","0","0.5","0.763133254558017","3.05171482660943","0.362070885767277","0.183426886712467","28.6558653766551","0.00148115762103297","0.000368762700326522","63.32376785168"
"initial_noegr_02","2","76","0.2","low","0.3","25","0","0.5","0.760943195265086","2.95943711122279","0.425668390644465","0.177183698791335","27.6805233436763","0.00148115762103297","0.000442014551750139","63.3257162923939"
"initial_noegr_02","2","76","0.2","low","0.35","25","0","0.5","0.756945450476101","2.8561383549672","0.487960383564456","0.170322454709961","26.6086254870637","0.00148115762103297","0.00051436558271898","63.3293345704799"
"initial_noegr_02","2","76","0.2","low","0.4","25","0","0.5","0.750698269490702","2.74213156267958","0.538740569270092","0.162952907439588","25.4573179647497","0.00148115762103297","0.000585002423928254","63.3347054561509"
"initial_noegr_02","2","76","0.2","low","0.45","25","0","0.5","0.742801249114138","2.61025791168648","0.588989954935167","0.154554002537316","24.1451990463922","0.00148115762103297","0.000654949582656763","63.341487854127"
"initial_noegr_02","2","76","0.2","low","0.5","25","0","0.5","0.732391236746279","2.45512050539192","0.638755892128498","0.144814983648972","22.6237208205607","0.00148115762103297","0.000724215110703042","63.3504204668001"
"initial_noegr_02","2","76","0.2","low","0.55","25","0","0.5","0.718143541814539","2.26892613649283","0.688095051505011","0.133289418105763","20.8231393435728","0.00148115762103297","0.000792806596178548","63.3626311858464"
"initial_noegr_02","2","76","0.2","low","0.6","25","0","0.5","0.697251191290166","2.03997504656417","0.737119274184197","0.119310849147834","18.6393374081204","0.00148115762103297","0.000860733357288732","63.3805136167556"
"initial_noegr_02","2","76","0.2","low","0.65","25","0","0.5","0.662666821060915","1.74985220156125","0.786090784605837","0.101837522130527","15.9095668948415","0.00148115762103297","0.000928009248891846","63.4100648499858"
"initial_noegr_02","2","76","0.2","low","0.7","25","0","0.5","0.586950260899111","1.36769416112673","0.835968911563711","0.0791378524693162","12.3633110020189","0.00148115762103297","0.000994670702477526","63.4745494445284"
"initial_noegr_03","3","114","0.3","low","0","25","0","0.5","0.739716897128161","2.82817392094889","0.113788841252881","0.20622436550273","33.269145764728","0.00185879116888627","0","64.7527156337279"
"initial_noegr_03","3","114","0.3","low","0.05","25","0","0.5","0.741010458170318","2.77558993098341","0.162719939188921","0.201790989600035","32.5539313972256","0.00185879116888627","9.29100622124963e-05","64.7511290642883"
"initial_noegr_03","3","114","0.3","low","0.1","25","0","0.5","0.741670418209893","2.7174411340124","0.215641585410216","0.196927212791854","31.7692826036459","0.00185879116888627","0.000185655747827745","64.7503698892442"
"initial_noegr_03","3","114","0.3","low","0.15","25","0","0.5","0.741542056601335","2.65278339044274","0.273072209108155","0.191565331121242","30.9042770431343","0.00185879116888627","0.00027821588868059","64.7506808067244"
"initial_noegr_03","3","114","0.3","low","0.2","25","0","0.5","0.740440971878814","2.58044403631268","0.335625386819928","0.185622296662893","29.9455170091413","0.00185879116888627","0.000370565364356807","64.7525075238846"
"initial_noegr_03","3","114","0.3","low","0.25","25","0","0.5","0.736028525864061","2.5021852091672","0.391382699317545","0.179346381472851","28.9330549911077","0.00185879116888627","0.000461081206460815","64.7584536531724"
"initial_noegr_03","3","114","0.3","low","0.3","25","0","0.5","0.730274157934702","2.4152152894763","0.445047914510139","0.172492279047779","27.8273169173829","0.00185879116888627","0.000550458871219441","64.7658769536317"
"initial_noegr_03","3","114","0.3","low","0.35","25","0","0.5","0.72319382608832","2.31702976210453","0.498149573014159","0.164871293654739","26.5978614488507","0.00185879116888627","0.000638911851685432","64.7750024341021"
"initial_noegr_03","3","114","0.3","low","0.4","25","0","0.5","0.714261100114243","2.20479983048526","0.55072574330224","0.156288805190167","25.2132914973037","0.00185879116888627","0.000726449951852133","64.7865060011682"
"initial_noegr_03","3","114","0.3","low","0.45","25","0","0.5","0.702433264581009","2.07466206278079","0.602847451638264","0.146480009990112","23.6308876116549","0.00185879116888627","0.000813085134293216","64.801725240479"
"initial_noegr_03","3","114","0.3","low","0.5","25","0","0.5","0.686326145579461","1.92121144769165","0.654595039516901","0.135076511725293","21.7912182540829","0.00185879116888627","0.000898828108357456","64.8224268609045"
